NM_VOTAVEL,DS_CARGO,NM_MUNICIPIO,Total_Votos
ABDAEL AMBRUSTER,DEPUTADO ESTADUAL,140,649
ABEL BARRETO,DEPUTADO ESTADUAL,242,2465
ABEL COSTA,DEPUTADO FEDERAL,78,360
ABEL DO PORTO SANTOS,DEPUTADO FEDERAL,365,3733
ABEL ELIAS DE CAMARGO,DEPUTADO ESTADUAL,69,268
ABIGAIL BENTO DA SILVA,DEPUTADO ESTADUAL,164,1224
ABRAAO GONÇALVES,DEPUTADO FEDERAL,64,825
ADAILTON CERQUEIRA SANTOS JUNIOR,DEPUTADO FEDERAL,345,5042
ADALBERTO GODOY FREITAS,DEPUTADO ESTADUAL,486,23065
ADALBERTO MARIANO DOS SANTOS,DEPUTADO FEDERAL,91,1801
ADALTO DAS DORES LIMA,DEPUTADO FEDERAL,113,730
ADAO DIVINO DO NASCIMENTO,DEPUTADO FEDERAL,196,1535
ADAUTO VIANA JUNIOR,DEPUTADO FEDERAL,554,15665
ADEILDO REIS DOS SANTOS,DEPUTADO ESTADUAL,77,830
ADELIA DE JESUS SOARES,DEPUTADO FEDERAL,80,629
ADELIA OLIVEIRA DE FARIAS,DEPUTADO ESTADUAL,392,9120
ADELSON FONSECA BEZERRA,DEPUTADO FEDERAL,401,17468
ADEMAR ALVES DE CARVALHO,DEPUTADO ESTADUAL,66,2380
ADEMAR BUENO DA SILVA JÚNIOR,DEPUTADO ESTADUAL,239,5031
ADEMILSON MIGUEL FERNANDES,DEPUTADO ESTADUAL,178,2929
ADEMIR DA GUIA,DEPUTADO ESTADUAL,448,13415
ADEMIR DA PENHA CLEMENTE,DEPUTADO ESTADUAL,111,1325
ADEMIR GONCALVES DE OLIVEIRA,DEPUTADO FEDERAL,188,1699
ADEMIR JOSE DA SILVA,DEPUTADO FEDERAL,213,1811
ADENILSON APARECIDO BARBOSA,DEPUTADO ESTADUAL,156,4092
ADENILSON GUERRA,DEPUTADO FEDERAL,89,810
ADENILTON FERREIRA DA SILVA,DEPUTADO FEDERAL,170,4814
ADERITO CÁSSIO DE ASSIS DUTRA,DEPUTADO FEDERAL,187,1546
ADEZIO DIAS BARBOZA,DEPUTADO FEDERAL,62,578
ADIENE CRISTINA SCAREL BRENGA,DEPUTADO ESTADUAL,215,2952
ADILSON ALVES DE OLIVEIRA,DEPUTADO ESTADUAL,34,777
ADILSON BARROSO OLIVEIRA,DEPUTADO FEDERAL,583,38182
ADILSON EUGENIO DE LIMA,DEPUTADO ESTADUAL,150,5227
ADILSON LUIZ DA CRUZ,DEPUTADO ESTADUAL,67,449
ADILSON ROSSI,DEPUTADO ESTADUAL,420,29208
ADMILSON LUCIO OLIVEIRA,DEPUTADO FEDERAL,342,11949
ADMIR DONIZETI FERRO,DEPUTADO ESTADUAL,149,7571
ADMIR GERVASIO MOREIRA,DEPUTADO FEDERAL,111,1007
ADNA ANA SIQUEIRA TEIXEIRA,DEPUTADO ESTADUAL,128,1227
ADOLFO QUINTAS GONÇALVES NETO,DEPUTADO ESTADUAL,163,9811
ADOLFO RAPHAEL SILVA MARIANO DE OLIVEIRA,DEPUTADO FEDERAL,248,3360
ADOLPH SCKICKELGRUBER RODRIGUES DE ALMEIDA,DEPUTADO ESTADUAL,48,243
ADRIANA ALVES DE OLIVEIRA,DEPUTADO ESTADUAL,132,1501
ADRIANA ARAUJO BARGAS,DEPUTADO FEDERAL,280,2898
ADRIANA CARDOSO AZEVEDO PERMINIO,DEPUTADO ESTADUAL,150,1125
ADRIANA CARDOSO DE SA,DEPUTADO ESTADUAL,55,190
ADRIANA COELHO DE OLIVEIRA,DEPUTADO ESTADUAL,96,835
ADRIANA GUEDES MACHADO,DEPUTADO FEDERAL,120,958
ADRIANA LUCIA BARRETO,DEPUTADO ESTADUAL,54,171
ADRIANA MIGUEL VENTURA,DEPUTADO FEDERAL,495,56847
ADRIANA PAULA HORTENCIANO,DEPUTADO ESTADUAL,72,403
ADRIANA PIERIN,DEPUTADO ESTADUAL,359,10983
ADRIANA RAMOS AFONSO EL RIFAI,DEPUTADO ESTADUAL,241,9352
ADRIANA SANCHES GALDEANO BORGO,DEPUTADO ESTADUAL,572,36849
ADRIANA SIMÕES DE ARAUJO,DEPUTADO FEDERAL,142,973
ADRIANA SOUZA DOS SANTOS PEREIRA,DEPUTADO ESTADUAL,51,255
ADRIANA VASCONCELLOS VIEIRA,DEPUTADO FEDERAL,399,17528
ADRIANO CAMARGO ANTONIO,DEPUTADO ESTADUAL,118,3327
ADRIANO DA COSTA E SILVA,GOVERNADOR,645,662786
ADRIANO DA SILVA NEIVA,DEPUTADO FEDERAL,122,942
ADRIANO DIOGO,DEPUTADO ESTADUAL,420,32089
ADRIANO DOS ANJOS MAÇAIRA,DEPUTADO FEDERAL,94,1166
ADRIANO DOS SANTOS,DEPUTADO FEDERAL,127,5443
ADRIANO ELI CORRÊA,DEPUTADO FEDERAL,430,80997
ADRIANO JOSÉ DOS REIS,DEPUTADO ESTADUAL,50,167
ADRIANO MARINHO DE OLIVEIRA,DEPUTADO FEDERAL,207,1783
ADRIANO PEREIRA DE OLIVEIRA,DEPUTADO FEDERAL,71,368
ADRIANO SANTOS PEREIRA,DEPUTADO FEDERAL,32,576
ADRIELE DOS SANTOS NASCIMENTO COSTA,DEPUTADO ESTADUAL,284,4042
ADÃO TIMÓTEO DE LIMA,DEPUTADO ESTADUAL,173,2820
ADÉRMIS MARINI JUNIOR,DEPUTADO FEDERAL,313,35020
AFFONSO SALATI FILHO,DEPUTADO FEDERAL,86,2299
AFONSO TIMOTEO DE SOUZA,DEPUTADO FEDERAL,48,217
AGAMENON ALVES DA SILVA,DEPUTADO ESTADUAL,189,2337
AGEU DA CRUZ ALMEIDA,DEPUTADO ESTADUAL,241,6253
AGLIBERTO DO SOCORRO CHAGAS,DEPUTADO FEDERAL,329,21204
AGNALDO ALVES PEREIRA,DEPUTADO ESTADUAL,29,142
AGNELO DA SILVA MATOS NETO,DEPUTADO ESTADUAL,194,2888
AGRIPINO PEREIRA DE SENA,DEPUTADO FEDERAL,89,832
AGUINALDO TRIUMPHO AVELLAR,DEPUTADO FEDERAL,235,1921
AGUSTIN FRANCISCO CARBALLO,DEPUTADO ESTADUAL,323,3952
AIDAN ANTONIO RAVIN,DEPUTADO ESTADUAL,143,18868
AILDO RODRIGUES FERREIRA,DEPUTADO ESTADUAL,243,12878
AILTON AMARAL DOS SANTOS,DEPUTADO FEDERAL,179,1689
AILTON APARECIDO TIPÓ LAURINDO,DEPUTADO ESTADUAL,191,23669
AILTON FRANCISCO CABRAL,DEPUTADO ESTADUAL,145,2256
AILTON JOSE DA SILVA,DEPUTADO ESTADUAL,58,310
AILTON JOSÉ DE LIMA,DEPUTADO FEDERAL,261,35843
AILTON JOSÉ DOS SANTOS,DEPUTADO ESTADUAL,203,4411
AIRES RIBEIRO,DEPUTADO FEDERAL,436,11791
AIRTON DA COSTA,DEPUTADO ESTADUAL,78,1558
AIRTON SANTOS LOPES,DEPUTADO FEDERAL,81,2042
ALAINY PRYSCILLA OLIVEIRA DA SILVA,DEPUTADO ESTADUAL,11,48
ALAN BEZERRA GOMES,DEPUTADO ESTADUAL,62,2207
ALAN SOUSA BOMFIM,DEPUTADO FEDERAL,345,6777
ALBENISIA SOUZA NASCIMENTO,DEPUTADO FEDERAL,19,118
ALBERTO ALVES COUTINHO,DEPUTADO FEDERAL,95,1162
ALBERTO CORUNHA TAVARES,DEPUTADO ESTADUAL,83,906
ALBERTO DE SOUZA GOMES,DEPUTADO ESTADUAL,69,555
ALCIDES AMAZONAS ARAUJO DOS SANTOS,DEPUTADO ESTADUAL,118,4082
ALCIDES BELUCI NETO,DEPUTADO FEDERAL,169,6681
ALDO JOSIAS DOS SANTOS,DEPUTADO FEDERAL,146,2929
ALDOMIRO FERNANDES,DEPUTADO FEDERAL,67,327
ALEIXO ANDRE MANOEL NETO,DEPUTADO ESTADUAL,206,2184
ALEKSANDRA CARVALHO DA MOTTA,DEPUTADO FEDERAL,44,548
ALENCAR SANTANA BRAGA,DEPUTADO FEDERAL,358,59350
ALESSANDRA APARECIDA MONTEIRO,DEPUTADO ESTADUAL,364,21932
ALESSANDRA DA SILVA SANTOS,DEPUTADO FEDERAL,128,1040
ALESSANDRA DE ASSIS BERRIEL,DEPUTADO ESTADUAL,120,1152
ALESSANDRA MARTINS GONÇALVES,DEPUTADO ESTADUAL,181,1456
ALESSANDRA MATOS,DEPUTADO ESTADUAL,87,553
ALESSANDRA REGINA BEGALLI ZAMORA,DEPUTADO ESTADUAL,372,8885
ALESSANDRA RUDOLPHO STRINGHETA BARBOSA,DEPUTADO ESTADUAL,256,7423
ALESSANDRA TRINDADE SHIMOMOTO,DEPUTADO ESTADUAL,348,4791
ALESSANDRA VICENTE SILVERIO,DEPUTADO ESTADUAL,139,1384
ALESSANDRANGELO LONDINO FRONTERA,DEPUTADO FEDERAL,42,336
ALESSANDRO AMORIM DE OLIVEIRA,DEPUTADO ESTADUAL,25,120
ALESSANDRO AUREO RAFALDINI OLIVEIRA,DEPUTADO ESTADUAL,53,334
ALESSANDRO CEZAR ARAUJO AZEVEDO,DEPUTADO ESTADUAL,422,6940
ALESSANDRO LEITE CAGE,DEPUTADO ESTADUAL,30,1291
ALESSANDRO MOGLIA ,DEPUTADO ESTADUAL,36,138
ALESSANDRO PEREIRA DOS SANTOS,DEPUTADO ESTADUAL,97,974
ALESSANDRO RIOS CONFORTI,DEPUTADO ESTADUAL,113,3724
ALESSANDRO RUIZ MARTINEZ,DEPUTADO ESTADUAL,156,13775
ALEX BATISTA ROCHA,DEPUTADO ESTADUAL,96,583
ALEX DE CARVALHO RODRIGUES,DEPUTADO FEDERAL,105,728
ALEX DEIVE LOPES SOARES,DEPUTADO ESTADUAL,70,877
ALEX DOUGLAS DOS SANTOS,DEPUTADO FEDERAL,177,1701
ALEX FERNANDO BRAGA,DEPUTADO FEDERAL,199,4539
ALEX OLIVEIRA DA SILVA,DEPUTADO FEDERAL,125,976
ALEX PAULO,DEPUTADO ESTADUAL,48,1056
ALEX SANDRO GOMES,DEPUTADO ESTADUAL,399,10976
ALEX SPINELLI MANENTE,DEPUTADO FEDERAL,442,112850
ALEXANDER MUNIZ DE OLIVEIRA,DEPUTADO ESTADUAL,574,104931
ALEXANDRE ALVES DA ROCHA,DEPUTADO ESTADUAL,48,757
ALEXANDRE ALVES TENORIO DOS SANTOS,DEPUTADO FEDERAL,89,623
ALEXANDRE ANNIBALDI,DEPUTADO FEDERAL,68,381
ALEXANDRE ARAUJO DAUAGE,DEPUTADO FEDERAL,260,9768
ALEXANDRE AUGUSTO FERREIRA,DEPUTADO FEDERAL,143,11248
ALEXANDRE BREVIGLIERI ALVES CASTILHO,DEPUTADO ESTADUAL,221,6262
ALEXANDRE DE OLIVEIRA,DEPUTADO FEDERAL,131,2075
ALEXANDRE DE SOUZA COMITRE,DEPUTADO FEDERAL,79,342
ALEXANDRE DONIZETE TEODORO,DEPUTADO FEDERAL,279,4291
ALEXANDRE EURÍPEDES DOS SANTOS,DEPUTADO ESTADUAL,91,916
ALEXANDRE FERREIRA DE SOUSA,DEPUTADO ESTADUAL,68,1386
ALEXANDRE FROTA DE ANDRADE,DEPUTADO FEDERAL,637,136097
ALEXANDRE GLUSKOSKI VENEGAS,DEPUTADO FEDERAL,98,759
ALEXANDRE GODINHO BERTONCELLO,DEPUTADO ESTADUAL,323,8648
ALEXANDRE HENRIQUE ISAIAS,DEPUTADO FEDERAL,39,733
ALEXANDRE LEITE DA SILVA,DEPUTADO FEDERAL,500,101036
ALEXANDRE MACHADO,DEPUTADO FEDERAL,234,4952
ALEXANDRE MARTINS RICCI,DEPUTADO ESTADUAL,60,952
ALEXANDRE MIGUEL COSTA,DEPUTADO ESTADUAL,34,259
ALEXANDRE MILANESE CAMILLO,DEPUTADO ESTADUAL,346,18630
ALEXANDRE MILANI DAS CHAGAS,DEPUTADO FEDERAL,66,1062
ALEXANDRE MORAES DE ALVARENGA RANGEL,DEPUTADO FEDERAL,113,2548
ALEXANDRE OLIMPIO DOS SANTOS,DEPUTADO ESTADUAL,40,604
ALEXANDRE PEREIRA DA SILVA,DEPUTADO ESTADUAL,563,44409
ALEXANDRE PIMENTA ARAUJO,DEPUTADO ESTADUAL,103,1966
ALEXANDRE PINHEIRO COSTA,DEPUTADO ESTADUAL,104,1027
ALEXANDRE REGINATO ACEDO,DEPUTADO ESTADUAL,179,2008
ALEXANDRE ROCHA SANTOS PADILHA,DEPUTADO FEDERAL,574,77404
ALEXANDRE SAID BUSSAB,DEPUTADO ESTADUAL,312,10966
ALEXANDRE SÉRGIO DE OLIVEIRA AZOUBEL,DEPUTADO FEDERAL,171,4991
ALEXANDRE TADEU LUZIANI NEGRI,DEPUTADO FEDERAL,32,434
ALEXANDRE TEIXEIRA,DEPUTADO ESTADUAL,96,973
ALEXANDRE TORTORELLA MANDL,DEPUTADO FEDERAL,307,5808
ALEXANDRIA BUENO DA SILVA,DEPUTADO ESTADUAL,158,1607
ALEXANDRO DE ARAUJO,DEPUTADO FEDERAL,102,13361
ALEXANDRO DOS SANTOS TIMÓTEO,DEPUTADO ESTADUAL,188,3310
ALEXIS JOSEPH STEVERLYNCK FONTEYNE,DEPUTADO FEDERAL,487,39558
ALEXSANDRA APARECIDA BECHELLI SILVA,DEPUTADO FEDERAL,51,330
ALEXSANDRO DE JESUS PEREIRA,DEPUTADO FEDERAL,54,455
ALEXSSANDER DE OLIVEIRA,DEPUTADO ESTADUAL,28,822
ALEXYA LUCAS EVANGELISTA SALVADOR,DEPUTADO ESTADUAL,346,9288
ALFREDO ALVES CAVALCANTE,DEPUTADO FEDERAL,227,54552
ALFREDO DUQUE DE ALMEIDA FILHO,DEPUTADO FEDERAL,70,2166
ALFREDO SOARES DE MOURA,DEPUTADO FEDERAL,120,6810
ALICIO HONORIO DE ANDRADE,DEPUTADO FEDERAL,84,819
ALINE DE CARVALHO,DEPUTADO FEDERAL,104,502
ALINE MARIA DE MOURA,DEPUTADO ESTADUAL,74,532
ALINE MONICA RIBEIRO,DEPUTADO FEDERAL,91,294
ALINE NASCIMENTO BARROZO TORRES,DEPUTADO FEDERAL,362,11502
ALLAN RODRIGO ALVES,DEPUTADO ESTADUAL,166,1567
ALLINY FERNANDA SARTORI PADALINO ROGÉRIO,DEPUTADO FEDERAL,203,6548
ALMIR DE ALEXANDRES,DEPUTADO ESTADUAL,53,988
ALMIR JOSE DE MELO,DEPUTADO ESTADUAL,32,361
ALMIR ROBERTO CICOTE,DEPUTADO ESTADUAL,136,22268
ALMIR VALENTE FELITTE,DEPUTADO FEDERAL,175,1342
ALOISIO BUENO,DEPUTADO ESTADUAL,329,5664
ALOISIO CALSONI BOZZINI,DEPUTADO ESTADUAL,153,4419
ALOISIO GAMA DE SANTANA,DEPUTADO ESTADUAL,179,1221
ALTAIR JOSE DE SOUZA,DEPUTADO FEDERAL,42,526
ALTAIR MORAES DE OLIVEIRA,DEPUTADO ESTADUAL,265,76427
ALTONOMISTA BEZERRA DA SILVA,DEPUTADO FEDERAL,61,1560
ALUISIO NOGUEIRA DA SILVA,DEPUTADO FEDERAL,285,6108
ALVARO BATISTA CAMILO,DEPUTADO ESTADUAL,521,25666
ALVARO BRUNO CASTRO GARCIA,DEPUTADO FEDERAL,82,1162
ALZIRA BOMBONATO DE MELO RIOS DA SILVA,DEPUTADO FEDERAL,182,1824
AMANDA SANTOS DA SILVA,DEPUTADO ESTADUAL,67,979
AMARILDO GONÇALVES,DEPUTADO ESTADUAL,143,9345
AMARO XIMENES DE MELO,DEPUTADO ESTADUAL,17,3407
AMAURY CUNHA CÂMARA,DEPUTADO ESTADUAL,80,2444
AMELIA RENATA MANARA DOMENI GASTI,DEPUTADO ESTADUAL,103,1465
AMELIA ROSA DO NASCIMENTO,DEPUTADO FEDERAL,60,209
AMERICO CICCONE NETO,DEPUTADO ESTADUAL,45,666
AMILTON PEREIRA BRITO,DEPUTADO ESTADUAL,127,2765
AMÉLIA NAOMI OMURA,DEPUTADO FEDERAL,381,33641
ANA CAROLINA DIAS RAMOS,DEPUTADO FEDERAL,74,394
ANA CLAUDIA FERREIRA DE PAIVA,DEPUTADO FEDERAL,195,1862
ANA CLAUDIA PERES LUCAS LOPES,DEPUTADO FEDERAL,203,2185
ANA CLAUDIA SILVA MIELKE,DEPUTADO ESTADUAL,434,23261
ANA CRISTINA ALVES,DEPUTADO ESTADUAL,61,553
ANA CRISTINA AUGUSTA DA SILVA ENCARNAÇÃO,DEPUTADO ESTADUAL,140,963
ANA CRISTINA DA SILVA COSTA,DEPUTADO ESTADUAL,191,3996
ANA CRISTINA GONÇALVES DE ABREU SOUZA,DEPUTADO ESTADUAL,231,16506
ANA CRISTINA TEIXEIRA DE ARAÚJO,DEPUTADO FEDERAL,56,320
ANA DA SILVA FERNANDES,DEPUTADO ESTADUAL,189,2823
ANA KARIN DIAS DE ALMEIDA ANDRADE,DEPUTADO FEDERAL,121,1199
ANA LIDIA DE OLIVEIRA AGUIAR,DEPUTADO ESTADUAL,359,13077
ANA LUCIA LIPPAUS PERUGINI,DEPUTADO FEDERAL,480,43791
ANA LUCIA PECORARO,DEPUTADO FEDERAL,68,345
ANA LUCIA PEREIRA,DEPUTADO FEDERAL,39,274
ANA LÚCIA BATISTA PAVÃO,DEPUTADO ESTADUAL,137,6862
ANA MARIA DO CARMO ROSSETO,DEPUTADO FEDERAL,316,45998
ANA MARIA FREIRE DA SILVA,DEPUTADO FEDERAL,44,454
ANA MARIA MURARI,DEPUTADO FEDERAL,50,278
ANA MARIA SOUZA GONÇALVES,DEPUTADO ESTADUAL,20,114
ANA PAULA CALVO FARIA,DEPUTADO FEDERAL,160,3065
ANA PAULA CARVALHO BEATHALTER,DEPUTADO FEDERAL,308,6389
ANA PAULA DAMACENO DE OLIVEIRA,DEPUTADO FEDERAL,82,524
ANA PAULA LOURENÇO,DEPUTADO ESTADUAL,378,20939
ANA PAULA OLIVEIRA SOUZA,DEPUTADO ESTADUAL,36,360
ANA PAULA RETUCI,DEPUTADO FEDERAL,220,1747
ANA RAQUEL RICARDO,DEPUTADO ESTADUAL,70,433
ANA REGINA MACHADO COUTO,DEPUTADO FEDERAL,70,367
ANALICE FERNANDES,DEPUTADO ESTADUAL,527,97003
ANDERSON BRANCO DA SILVA,DEPUTADO ESTADUAL,111,2927
ANDERSON DE OLIVEIRA GALCHIN,DEPUTADO FEDERAL,28,510
ANDERSON DIAS DE MENESES,DEPUTADO ESTADUAL,58,1564
ANDERSON JOSÉ FRANCISCO,DEPUTADO ESTADUAL,59,1361
ANDERSON OLIVEIRA DA SILVA,DEPUTADO ESTADUAL,17,201
ANDERSON ROGERIO ALVES,DEPUTADO ESTADUAL,92,1679
ANDERSON SEVERIANO GOMES,DEPUTADO ESTADUAL,327,8658
ANDRE APARECIDO DA ROCHA,DEPUTADO FEDERAL,213,1319
ANDRE BASTIANON PONTES,DEPUTADO FEDERAL,162,1932
ANDRE DOS SANTOS SOUZA,DEPUTADO FEDERAL,25,103
ANDRE GOMES BARBOSA,DEPUTADO ESTADUAL,105,1013
ANDRE LUIZ DE OLIVEIRA,DEPUTADO FEDERAL,46,765
ANDRE LUIZ ZANATA,DEPUTADO FEDERAL,106,2370
ANDRE MARTINS DE OLIVEIRA,DEPUTADO ESTADUAL,96,607
ANDRE RAPHAEL BUION MARQUES,DEPUTADO ESTADUAL,70,600
ANDREA DECOURT SAVELLI,DEPUTADO ESTADUAL,357,18908
ANDREA DUL,DEPUTADO ESTADUAL,126,2328
ANDREA JOSIANE PINTO NAKASASSU,DEPUTADO ESTADUAL,240,2129
ANDREA ROSA DE MENEZES DUARTE,DEPUTADO ESTADUAL,45,346
ANDREA SEIXAS,DEPUTADO ESTADUAL,274,6034
ANDREA SPINOLA E CASTRO VILLELA SEQUEIRA,DEPUTADO FEDERAL,288,9820
ANDREA WERNER SILVA BONOLI,DEPUTADO FEDERAL,487,38217
ANDREIA APARECIDA GOMES DE SOUSA FERNANDES,DEPUTADO FEDERAL,53,252
ANDREIA CAMPOS SALES MARTINS,DEPUTADO FEDERAL,64,1012
ANDREIA CARVALHO DE SOUZA,DEPUTADO ESTADUAL,33,143
ANDREIA DAS NEVES OLIVEIRA,DEPUTADO FEDERAL,83,319
ANDREIA LETICIA DE SOUZA,DEPUTADO FEDERAL,20,43
ANDREIA LUCIA GONÇALVES DA SILVA,DEPUTADO ESTADUAL,361,6836
ANDREIA MAIA DOS SANTOS,DEPUTADO FEDERAL,55,734
ANDREIA MARIA ANDRADE,DEPUTADO FEDERAL,75,498
ANDREIA MONIQUE DOS SANTOS,DEPUTADO ESTADUAL,136,1548
ANDREIA OLIVEIRA DE SOUZA SANTOS,DEPUTADO FEDERAL,106,638
ANDREIA OLIVEIRA LIMA,DEPUTADO FEDERAL,66,266
ANDREIA SANTINA CAPATTO,DEPUTADO ESTADUAL,50,376
ANDRESSA CHAVES DA SILVA,DEPUTADO ESTADUAL,47,181
ANDRESSA LUIZ MARTINS,DEPUTADO ESTADUAL,26,67
ANDRESSA SALES STRAMBECK DA COSTA,DEPUTADO FEDERAL,129,8882
ANDRÉ ALVES DA SILVA,DEPUTADO ESTADUAL,23,346
ANDRÉ BASÍLIO DOS SANTOS,DEPUTADO ESTADUAL,37,478
ANDRÉ ELIAS RODINI LUIZ,DEPUTADO FEDERAL,154,2524
ANDRÉ ITALO MAURO,DEPUTADO ESTADUAL,29,265
ANDRÉ LUIS BUENO,DEPUTADO ESTADUAL,262,27169
ANDRÉ LUIS DE MORAES,DEPUTADO FEDERAL,230,1324
ANDRÉ LUIS DO PRADO,DEPUTADO ESTADUAL,385,108147
ANDRÉ LUIS PALADINO,DEPUTADO ESTADUAL,103,2498
ANDRÉ LUIS SIQUEIRA,DEPUTADO ESTADUAL,161,2977
ANDRÉ LUIZ COSTA DE OLIVEIRA,DEPUTADO ESTADUAL,176,1267
ANDRÉ LUIZ COUTINHO DE SOUZA,DEPUTADO ESTADUAL,78,1824
ANDRÉ LUIZ DE TOLEDO,DEPUTADO FEDERAL,99,562
ANDRÉ MARTINS MACHADO,DEPUTADO FEDERAL,36,376
ANDRÉ RICARDO DE SOUZA,DEPUTADO ESTADUAL,28,796
ANDRÉ SAPANOS DE CARVALHO,DEPUTADO ESTADUAL,123,1818
ANDRÉA CRISTINA FERREIRA DE LEMOS SILVA,DEPUTADO ESTADUAL,60,621
ANDRÉA MARIA DOS SANTOS,DEPUTADO ESTADUAL,95,879
ANDRÉIA ROSA DA SILVA,DEPUTADO FEDERAL,72,592
ANETE MARIA PIZZIMENTI,DEPUTADO FEDERAL,210,2834
ANGELA ALVES PEREIRA GOUVEIA,DEPUTADO ESTADUAL,30,250
ANGELA CAMARGO SPINELI,DEPUTADO ESTADUAL,237,2758
ANGELA CRISTINA ALVES DE AZEVEDO,DEPUTADO ESTADUAL,75,583
ANGELA GISELDA RUSSO PUCCIA DE LIMA,DEPUTADO ESTADUAL,57,408
ANGELA MARIA DE OLIVEIRA,DEPUTADO ESTADUAL,83,557
ANGELA MARIA PEREIRA MATOS BARCELLOS,DEPUTADO FEDERAL,46,162
ANGELA MÁRCIA FIRMO BAVINI,DEPUTADO FEDERAL,301,3853
ANGELA OROSCO DE MELO,DEPUTADO ESTADUAL,259,3826
ANGELICA DA SILVA MOREIRA,DEPUTADO ESTADUAL,19,51
ANGELO ANTONIO BUCIOLOTI,DEPUTADO ESTADUAL,73,1072
ANGELO DOMINGOS NUCCI,DEPUTADO FEDERAL,55,3566
ANGELO JOSÉ LEITE CARDOSO COELHO,DEPUTADO ESTADUAL,139,2037
ANGELO MARCIO DE JESUS SILVA,DEPUTADO ESTADUAL,41,1071
ANIBAL DE FREITAS FILHO,DEPUTADO ESTADUAL,106,5469
ANISIA PAULINA TEIXEIRA,DEPUTADO FEDERAL,25,67
ANISTALDO LUIZ LOPES DA SILVA,DEPUTADO ESTADUAL,235,21449
ANITA DE GUSMÃO DAMIÃO,DEPUTADO ESTADUAL,239,4256
ANITA DOS SANTOS TAKAIYASU,DEPUTADO ESTADUAL,69,1202
ANIZIA MOTTA DOS SANTOS LOURENÇO,DEPUTADO ESTADUAL,110,836
ANIZIO TAVARES DA SILVA,DEPUTADO ESTADUAL,50,2202
ANSELMO PIRES DA SILVA NETO,DEPUTADO ESTADUAL,94,1165
ANTONIA MARIA COSTA SILVA,DEPUTADO ESTADUAL,14,177
ANTONINHA JOSELI PEREIRA,DEPUTADO ESTADUAL,16,59
ANTONIO ABERALDO DE PINHO,DEPUTADO FEDERAL,43,205
ANTONIO ADOLPHO LOBBE NETO,DEPUTADO FEDERAL,525,65163
ANTONIO APARECIDO DELAFINA,DEPUTADO ESTADUAL,332,8768
ANTONIO APARECIDO FERREIRA,DEPUTADO FEDERAL,155,2319
ANTONIO ASSUNÇÃO DE OLIM,DEPUTADO ESTADUAL,566,141831
ANTONIO AUGUSTO PORTO,DEPUTADO ESTADUAL,68,555
ANTONIO BETE NETO,DEPUTADO ESTADUAL,23,120
ANTONIO BIAGIO VESPOLI,DEPUTADO ESTADUAL,231,19136
ANTONIO CARLOS ALVES DA SILVA,DEPUTADO FEDERAL,267,6533
ANTONIO CARLOS ALVES DE LIRA,DEPUTADO ESTADUAL,40,272
ANTONIO CARLOS BORGES,DEPUTADO ESTADUAL,50,349
ANTONIO CARLOS DE CAMPOS MACHADO,DEPUTADO ESTADUAL,633,102133
ANTONIO CARLOS ESPER CURIATI,DEPUTADO ESTADUAL,574,20090
ANTONIO CARLOS FERREIRA DE OLIVEIRA,DEPUTADO ESTADUAL,19,107
ANTONIO CARLOS FERREIRA JUNIOR,DEPUTADO ESTADUAL,27,441
ANTONIO CARLOS MARTINS RIBEIRO,DEPUTADO ESTADUAL,75,590
ANTONIO CARLOS PADULA,DEPUTADO FEDERAL,68,875
ANTONIO CARLOS PANTANO,DEPUTADO ESTADUAL,4,63
ANTONIO CARLOS PEDRO JUNIOR,DEPUTADO FEDERAL,42,579
ANTONIO CARLOS PEREIRA DA SILVA,DEPUTADO ESTADUAL,41,854
ANTONIO CARLOS PEREIRA SILVA,DEPUTADO ESTADUAL,34,1491
ANTONIO CARLOS RENOR,DEPUTADO ESTADUAL,29,911
ANTONIO CARLOS RODRIGUES,DEPUTADO FEDERAL,393,43826
ANTONIO CEZAR CORREIA FREIRE,DEPUTADO FEDERAL,579,104082
ANTONIO CLAUDINO CORDEIRO,DEPUTADO ESTADUAL,11,88
ANTONIO CLAUDIO FLORES PITERI,DEPUTADO ESTADUAL,195,22110
ANTONIO COSTA,DEPUTADO ESTADUAL,72,431
ANTONIO D AGOSTINO,DEPUTADO FEDERAL,164,1922
ANTONIO DA ROCHA MARMO CEZAR,DEPUTADO ESTADUAL,364,74835
ANTONIO DE ASSIS DE ARAUJO,DEPUTADO FEDERAL,46,630
ANTONIO DE PADUA PACHECO,DEPUTADO ESTADUAL,163,22842
ANTONIO DE SOUSA RAMALHO,DEPUTADO ESTADUAL,318,25655
ANTONIO DE SOUZA BRANDAO,DEPUTADO FEDERAL,63,237
ANTONIO DIRCEU DALBEN,DEPUTADO ESTADUAL,350,70983
ANTONIO DONIZETE FERREIRA,GOVERNADOR,487,14366
ANTONIO DONIZETE LIMA DE ALENCAR,DEPUTADO FEDERAL,177,1364
ANTONIO DOS ANJOS MELQUIADES,DEPUTADO FEDERAL,200,4174
ANTONIO DOS REIS ZAMARCHI,DEPUTADO FEDERAL,69,4484
ANTONIO ELITON SANTOS DE BRITO,DEPUTADO ESTADUAL,31,68
ANTONIO FERNANDES DOS SANTOS NETO,SENADOR,645,312571
ANTONIO FERNANDES FERRARI,DEPUTADO ESTADUAL,130,7826
