,Candidato,Publicidade por materiais impressos,Serviços prestados por terceiros,Despesa com Impulsionamento de Conteúdos,Publicidade por jornais e revistas,Diversas a especificar,Publicidade por adesivos,Correspondências e despesas postais,Locação/cessão de bens imóveis,Doações financeiras a outros candidatos/partidos,Criação e inclusão de páginas na internet,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",Taxa de Administração de Financiamento Coletivo,Despesas com pessoal,Serviços próprios prestados por terceiros,Atividades de militância e mobilização de rua,Alimentação,Cessão ou locação de veículos,Materiais de expediente,"Produção de programas de rádio, televisão ou vídeo",Combustíveis e lubrificantes,Eventos de promoção da candidatura,"Produção de jingles, vinhetas e slogans",Locação/cessão de bens móveis (exceto veículos),"Impostos, contribuições e taxas",Telefone,Publicidade por carros de som,Despesas com Hospedagem,Água,Energia elétrica,Pesquisas ou testes eleitorais,Despesas com transporte ou deslocamento,Passagem Aérea,Aquisição/Doação de bens móveis ou imóveis,Pré-instalação física de comitê de campanha,Reembolsos de gastos realizados por eleitores,Encargos sociais,Comícios,Multas eleitorais,Gasto_Candidato,Votos recebidos,NM_PARTIDO,DS_CARGO,NR_CANDIDATO,Recursos próprios,Recursos de pessoas físicas,Recursos de partido político,Recursos de Financiamento Coletivo,Recursos de outros candidatos,Rendimentos de aplicações financeiras,Doações pela Internet,Recursos de origens não identificadas,Comercialização de bens ou realização de eventos,TotalReceita_Candidato
10,JOÃO AGRIPINO DA COSTA DORIA JUNIOR,718530.0,11473887.0,750000.0,0.0,0.0,163270.1,62.8,92311.11,270000.0,0.0,2007.64,0.0,618700.0,0.0,0.0,8508.11,83882.75,1126.01,5600000.0,26659.76,196648.0,0.0,5400.0,0.0,7800.0,0.0,9618.5,0.0,720.46,931000.0,1175060.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22135193.23,5674846.0,Partido da Social Democracia Brasileira,Governador,65038.0,0.0,0.0,12680.0,0.0,3061.87,0.0,0.0,0.0,0.0,15741.87
11,LISETE REGINA GOMES ARELARO,58435.22,13885.39,23000.0,0.0,463.0,33138.0,4062.45,500.0,0.0,0.0,162.55,851.43,28200.64,0.0,0.0,0.0,0.0,1800.94,0.0,4591.43,0.0,1000.0,1856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171947.05,444433.0,Partido Socialismo e Liberdade,Governador,19269.0,0.0,0.0,31643.3,0.0,0.0,0.0,0.0,0.0,0.0,31643.3
12,ANTONIO FERNANDES DOS SANTOS NETO,189012.25,213960.01,60000.0,800.0,0.0,58858.0,2023.56,660.0,0.0,0.0,782.45,1968.8600000000001,19000.0,0.0,0.0,14250.0,0.0,0.0,25000.0,5300.0,0.0,15000.0,19000.98,1000.0,0.0,0.0,3085.65,0.0,0.0,0.0,450.0,5808.530000000001,4098.0,0.0,0.0,0.0,0.0,0.0,640058.29,312571.0,Partido Democrático Trabalhista,Senador,36190.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0
13,EDUARDO MATARAZZO SUPLICY,46703.62,617350.0,111000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.9,1189.76,0.0,0.0,35000.0,1698.93,0.0,1751.01,450270.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270489.2200000002,4122594.0,Partido dos Trabalhadores,Senador,1704.0,1425.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.0
14,JILMAR AUGUSTINHO TATTO,301.45,293000.0,58810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.65,0.0,50793.34,0.0,0.0,0.0,466.67,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403733.11000000004,1855130.0,Partido dos Trabalhadores,Senador,15072.0,0.0,0.0,22034.08,0.0,3916.66,0.0,0.0,0.0,0.0,25950.74
15,MARCELO FORTES BARBIERI,87909.4,369718.5,25000.0,7691.0,0.0,6519.6,0.0,0.0,0.0,40.0,2246.85,195.6,238294.53,0.0,0.0,1492.2,7851.37,0.0,0.0,27120.07,0.0,0.0,0.0,0.0,0.0,0.0,1325.0,0.0,0.0,60000.0,1986.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837390.4999999999,339120.0,Movimento Democrático Brasileiro,Senador,19193.0,0.0,0.0,1234.09,0.0,0.0,0.0,0.0,0.0,0.0,1234.09
16,MARIA APARECIDA PINTO,198530.0,128725.0,0.0,7030.0,0.0,13485.0,0.0,8000.0,0.0,13003.0,285.2,0.0,0.0,0.0,218032.98,1440.0,9202.2,0.0,15000.0,8861.64,0.0,1500.0,0.0,0.0,0.0,0.0,1450.02,0.0,0.0,0.0,1852.8600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626397.9,520444.0,Movimento Democrático Brasileiro,Senador,17037.0,900.0,2326.98,5730.95,0.0,0.0,0.0,0.0,0.0,0.0,8957.93
17,LUIZ CARLOS PRATES,8154.0,49.9,1000.0,0.0,0.0,2255.0,0.0,0.0,0.0,0.0,102.65,76.35,0.0,2000.0,0.0,0.0,0.0,0.0,4910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18547.9,18713.0,Partido Socialista dos Trabalhadores Unificado,Senador,2872.0,0.0,0.0,216.64,0.0,0.0,0.0,0.0,0.0,0.0,216.64
18,ELIANA LÚCIA FERREIRA,5590.0,49.9,0.0,0.0,0.0,6144.0,0.0,0.0,0.0,0.0,32.75,76.6,0.0,1000.0,0.0,0.0,0.0,0.0,11260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24153.25,53710.0,Partido Socialista dos Trabalhadores Unificado,Senador,1930.0,2500.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.7
19,SERGIO OLIMPIO GOMES,34743.59,0.0,152000.0,5575.0,180.0,31518.8,6061.6,6980.0,0.0,0.0,61.2,1607.12,18154.5,7800.0,0.0,0.0,7385.0,0.0,0.0,2898.08,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2398.16,0.0,0.0,0.0,0.0,0.0,0.0,278863.05,7921814.0,Partido Social Liberal,Senador,3099.0,709.5,16800.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,20009.5
20,MOIRA LÁZARO DA SILVA,0.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1510.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.0,112917.0,Rede Sustentabilidade,Senador,55190.0,16000.0,57300.0,505456.0,940.0,0.0,0.0,0.0,0.0,0.0,579696.0
21,PEDRO HENRIQUE HENRIQUES FERNANDES,714.4,32807.0,36000.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,0.0,113.5,4140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133803.9,120527.0,Rede Sustentabilidade,Senador,4361.0,0.0,1000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
