,Candidato,Serviços prestados por terceiros,Despesa com Impulsionamento de Conteúdos,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",Eventos de promoção da candidatura,Publicidade por materiais impressos,Doações financeiras a outros candidatos/partidos,Combustíveis e lubrificantes,Criação e inclusão de páginas na internet,Taxa de Administração de Financiamento Coletivo,Despesas com Hospedagem,Despesas com transporte ou deslocamento,Despesas com pessoal,"Produção de programas de rádio, televisão ou vídeo",Publicidade por jornais e revistas,Publicidade por adesivos,"Produção de jingles, vinhetas e slogans",Atividades de militância e mobilização de rua,Serviços próprios prestados por terceiros,Locação/cessão de bens móveis (exceto veículos),Diversas a especificar,Locação/cessão de bens imóveis,Publicidade por carros de som,"Impostos, contribuições e taxas",Cessão ou locação de veículos,Materiais de expediente,Alimentação,Correspondências e despesas postais,Água,Energia elétrica,Comícios,Aquisição/Doação de bens móveis ou imóveis,Pré-instalação física de comitê de campanha,Pesquisas ou testes eleitorais,Multas eleitorais,Passagem Aérea,Telefone,Encargos sociais,Reembolsos de gastos realizados por eleitores,Gasto_Candidato,Votos recebidos
513,CAIO MIRANDA CARNEIRO,56664.2,60000.0,391.0,5440.3,5502.0,0.0,0.0,0.0,0.0,0.0,0.0,7900.0,0.0,0.0,8610.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154507.5,16008.0
514,WANESSA SOUSA BOMFIM,10500.0,1000.0,364.9500000000001,0.0,35881.7,0.0,900.0,0.0,0.0,0.0,0.0,13719.0,0.0,1050.0,300.0,1350.0,54000.0,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,298.2,900.6,27979.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152744.01,3927.0
515,JOSÉ BRANCO PERES NETO,18292.71,7500.0,244.9,0.0,2980.0,0.0,12987.95,0.0,0.0,0.0,0.0,79839.59,8000.0,400.0,4736.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,14387.76,120.0,1761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152249.91,0.0
516,JOÃO MOTA DOS SANTOS,6222.22,0.0,812.27,0.0,6690.0,0.0,9505.37,40.0,0.0,0.0,0.0,83846.14,0.0,0.0,11316.0,0.0,0.0,0.0,0.0,26420.0,1200.0,0.0,0.0,6130.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152182.5,3548.0
517,VITOR HUGO RICCOMINI,3000.0,0.0,53.82,0.0,62511.81,0.0,16194.97,9400.0,0.0,0.0,0.0,42180.0,200.0,6800.0,4677.0,1000.0,0.0,0.0,0.0,0.0,4300.0,1000.0,0.0,0.0,0.0,80.0,0.0,112.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151509.92,18214.0
518,ANIBAL DE FREITAS FILHO,0.0,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6900.0,131919.0,0.0,10300.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151074.0,5469.0
519,PAULA DANIELA DE JESUS,0.0,0.0,72.95,0.0,3410.0,0.0,23903.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91215.55,0.0,0.0,0.0,0.0,0.0,0.0,32203.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150804.62,297.0
520,CIDIMAR ROBERTO PORTO,37200.0,9400.0,110.0,0.0,31140.0,0.0,9160.5,0.0,0.0,0.0,0.0,0.0,0.0,19940.0,6105.0,1500.0,0.0,5000.0,1126.0,18.5,2500.0,0.0,0.0,3300.0,1920.0,0.0,20000.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,150420.0,2770.0
521,VANILDA APARECIDA BUENO BORDIERI POLI,5777.11,2000.0,104.05,0.0,6193.0,10000.0,121.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112940.0,0.0,0.0,0.0,1200.0,10000.0,0.0,0.0,327.5,1337.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,16524.0
522,ROGERIO MONTEIRO BARBOSA,95993.95,250.0,334.95,0.0,1874.0,0.0,11532.46,0.0,0.0,0.0,0.0,0.0,0.0,431.0,1631.0,1000.0,31046.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,6158.0
523,GELSO LIMA,0.0,6500.0,189.5,0.0,20312.39,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,16295.0,37046.0,3500.0,30350.0,28463.11,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0
524,SILVANA MESQUITA DA SILVA,2000.0,20400.0,124.35,0.0,2860.0,0.0,8734.369999999999,0.0,0.0,0.0,0.0,97632.0,4000.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,8167.0,5332.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,4344.0
525,DINÁ MARIA FERREIRA,0.0,2000.0,0.0,0.0,9780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,0.0,0.0,123348.0,0.0,1300.0,0.0,0.0,0.0,13200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,332.0
526,ELISABETE NATALI ALVARENGA,7290.0,0.0,181.35,0.0,41170.44,0.0,19260.0,40.0,0.0,0.0,0.0,47937.0,0.0,0.0,1730.0,5150.0,14028.0,0.0,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149986.79,4568.0
527,THIAGO GONÇALES,49240.0,0.0,48.0,0.0,1922.5,0.0,18006.06,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,11590.0,0.0,54200.0,0.0,300.0,0.0,2000.0,400.0,0.0,6000.0,378.1,1020.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,149854.66,2715.0
528,RAPHAEL APARECIDO DE OLIVEIRA,0.0,0.0,233.2,0.0,33000.0,0.0,3238.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,90615.5,0.0,0.0,0.0,0.0,10000.0,0.0,6700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149787.35,6412.0
529,WELLINGTON NOGUEIRA SANTOS JUNIOR,48591.61,18000.0,388.0,0.0,14640.0,645.72,0.0,0.0,1821.22,35.0,0.0,0.0,500.0,0.0,0.0,0.0,8559.880000000001,55399.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148581.31,19586.0
530,AIDAN ANTONIO RAVIN,101915.2,0.0,326.8,0.0,17100.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200.0,2100.0,0.0,800.0,0.0,688.0,0.0,9900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146030.0,18868.0
531,CARLOS VICENTE DE OLIVEIRA,0.0,250.0,210.0,0.0,78980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,58211.85,400.0,0.0,3460.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145861.85,25817.0
532,DANIEL FERNANDES BARBOSA,12500.0,15000.0,493.6,0.0,17668.0,0.0,3384.51,0.0,0.0,0.0,1140.0,60410.0,12500.0,2808.8,700.0,830.0,0.0,0.0,0.0,930.0,450.0,5000.0,0.0,750.0,701.8,5117.0,5091.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145475.44999999998,8084.0
533,JOSE MARIO BRASILIENSE CARNEIRO,57670.0,11500.0,365.9500000000001,0.0,4946.4,0.0,0.0,1600.0,459.27,0.0,72.88,0.0,19150.0,31501.2,1691.14,0.0,0.0,0.0,0.0,251.8,9760.04,0.0,0.0,3000.0,327.9,281.63,403.2,0.0,0.0,0.0,1609.08,0.0,0.0,0.0,0.0,167.97,0.0,0.0,144758.46,0.0
534,OSWALDO DIAS,0.0,2000.0,105.5,0.0,19667.81,0.0,5254.84,0.0,0.0,0.0,0.0,51967.0,0.0,15895.68,2229.91,450.0,0.0,9726.57,0.0,0.0,5700.0,7950.0,0.0,14900.0,238.39,7160.0,0.0,381.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.63,0.0,0.0,143747.53000000003,18215.0
535,TALMIR RODRIGUES,3000.0,20000.0,191.4,0.0,35727.66,0.0,11654.15,173.4,0.0,0.0,2833.07,0.0,800.0,8355.0,0.0,400.0,0.0,43206.0,0.0,490.0,0.0,0.0,1047.19,3487.0,288.0,9837.3,1501.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.15,0.0,0.0,0.0,143712.71999999997,11215.0
536,NILTON ROBERTO MARTINES,2000.0,7667.0,269.85,0.0,36275.42,5.6,5206.01,1189.0,0.0,0.0,0.0,2515.0,0.0,4950.0,5734.799999999999,11500.0,7200.0,0.0,150.0,30000.0,2500.0,500.0,0.0,1000.0,75.0,0.0,3330.9,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,145.17000000000002,0.0,0.0,142213.75,15252.0
537,LAURI AFONSO DE OLIVEIRA ROCHA,9428.25,2500.0,606.75,0.0,19040.0,0.0,0.0,0.0,0.0,0.0,0.0,102900.0,0.0,3875.0,3150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141500.0,10563.0
538,JULIO CESAR FUZARI,1700.0,14000.0,226.05,0.0,14416.99,0.0,7000.0,0.0,0.0,0.0,15000.0,59000.0,0.0,0.0,5739.639999999999,500.0,0.0,11000.0,0.0,0.0,2000.0,2000.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140082.68,26716.0
539,ANA PAULA CARVALHO BEATHATTER,61124.78,0.0,264.9,0.0,31930.0,24000.0,4000.0,0.0,0.0,0.0,0.0,0.0,3000.0,6340.0,4000.0,1950.0,0.0,0.0,0.0,247.0,500.0,250.0,0.0,0.0,103.42,811.8,0.0,0.0,0.0,0.0,0.0,1450.55,0.0,0.0,0.0,0.0,0.0,0.0,139972.44999999998,0.0
540,FRANCISCO PEREIRA DE SOUZA,0.0,2600.0,311.05,0.0,29074.59,0.0,12819.18,0.0,0.0,0.0,0.0,0.0,0.0,500.0,180.0,0.0,0.0,87325.86,0.0,1240.0,0.0,0.0,0.0,0.0,0.0,1024.15,0.0,4411.45,113.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139600.0,0.0
541,EDSON COQUEIRO FILHO,5000.0,1100.0,208.85,0.0,8430.0,0.0,5531.68,4200.0,0.0,0.0,0.0,78898.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,377.8,4000.0,0.0,0.0,21875.22,240.83,5486.280000000001,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138397.15999999997,2312.0
542,HENRIQUE ALBERTO ALMIRATES JUNIOR,9030.94,8310.0,555.15,0.0,21364.5,0.0,998.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,225.0,1800.0,85529.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,843.73,7370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137876.32,3265.0
543,CESAR AUGUSTO JOSÉ,85778.61,0.0,553.8000000000001,0.0,13387.0,0.0,1708.9,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,300.0,0.0,3908.0,0.0,0.0,2500.0,0.0,0.0,15620.0,0.0,3325.81,0.0,244.13,571.95,0.0,0.0,0.0,0.0,0.0,0.0,241.8,0.0,0.0,136000.0,9901.0
544,DOUGLAS ELIAS BELCHIOR,9100.0,3000.0,935.94,6750.0,34120.62,0.0,0.0,99.0,3388.38,0.0,0.0,1500.0,3500.0,0.0,23224.0,0.0,37523.64,0.0,0.0,180.0,6164.73,1400.0,0.0,0.0,0.0,0.0,4095.57,0.0,71.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135052.91,40264.0
545,LUIZ CARLOS MOTA,8500.0,2063.28,231.0,0.0,64085.0,0.0,877.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1496.0,0.0,53880.55,0.0,0.0,0.0,2000.0,0.0,0.0,1624.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134756.96,6462.0
546,SIMÃO PEDRO CHIOVETTI,78000.0,5000.0,445.9,4613.3,24644.83,0.0,4537.82,676.78,733.15,0.0,0.0,0.0,0.0,1040.0,2659.0,0.0,1600.0,0.0,0.0,170.93,4295.0,0.0,0.0,5700.0,477.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.49000000000001,0.0,0.0,134680.34999999998,36983.0
547,FLAVIO SILVA DE FREITAS,4000.0,0.0,439.1,0.0,39108.0,0.0,3826.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74563.0,0.0,0.0,0.0,3000.0,0.0,0.0,9100.0,0.0,0.0,0.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134564.22999999998,8116.0
548,PEDRO HENRIQUE HENRIQUES FERNANDES,32807.0,36000.0,29.0,113.5,714.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,0.0,0.0,4140.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133803.9,120527.0
549,RAUL CHRISTIANO DE OLIVEIRA SANCHEZ,62244.5,47500.0,99.35,0.0,17135.0,0.0,0.0,0.0,84.88,0.0,0.0,0.0,0.0,4836.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133749.73,5287.0
550,SERGIO ANTONIO DONHA,5692.7,15000.0,120.0,0.0,45439.73,0.0,4133.58,0.0,0.0,0.0,0.0,22884.0,0.0,2730.0,410.0,3500.0,0.0,4000.0,0.0,25000.0,0.0,0.0,170.39,0.0,0.0,0.0,3919.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133000.0,1028.0
551,EDNA DA SILVA DELLA NINA,0.0,0.0,86.9,0.0,2545.0,102500.0,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,17525.0,2250.0,0.0,2260.0,1200.0,0.0,0.0,1000.0,263.74,930.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132493.53,1723.0
552,JOSÉ RIBAMAR GOMES DA SILVA,0.0,0.0,441.17,0.0,2970.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1852.6,0.0,0.0,0.0,0.0,96993.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132257.66999999998,0.0
553,ROQUE LEVI SANTOS TAVARES,0.0,0.0,255.0,0.0,9210.0,0.0,4739.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3941.48,800.0,88056.51,0.0,0.0,0.0,1300.0,10000.0,0.0,8150.0,0.0,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132092.99,5069.0
554,RAFAEL GANZERLI AUAD,24500.0,5000.0,517.52,3960.0,16521.0,0.0,0.0,0.0,370.32,0.0,0.0,10500.0,4330.0,0.0,700.0,0.0,52350.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7994.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130743.0,3337.0
555,ANDERSON BRANCO DA SILVA,12300.0,0.0,0.0,0.0,71460.0,0.0,0.0,0.0,0.0,0.0,0.0,27920.0,0.0,10320.0,6390.0,0.0,0.0,0.0,0.0,492.3,0.0,0.0,0.0,0.0,0.0,747.5,370.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130000.0,2927.0
556,PATRÍCIA FREITAS LIMA,0.0,0.0,66.0,0.0,20400.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92590.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,129856.0,2146.0
557,MATHEUS DE OLIVEIRA PINTO,15250.0,88336.8,26.4,0.0,20044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129752.2,35078.0
558,ULYSSES MARIO TASSINARI,4500.0,8509.37,358.9,0.0,39381.5,0.0,3271.21,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,5497.0,0.0,64060.89,0.0,300.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,90.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129619.66,39787.0
559,ADAILTON CERQUEIRA JUNIOR,92240.6,0.0,59.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35200.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129500.0,0.0
560,VINICIUS TADEU SATTIN RODRIGUES,3900.0,45000.0,45.6,0.0,33479.28,8474.57,0.0,0.0,159.8,960.0,0.0,3600.0,0.0,1000.0,26880.0,0.0,3200.0,0.0,0.0,249.9,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129249.15,23044.0
561,JOSÉ GUILHERME NEGRÃO PEIXOTO,6961.610000000001,3000.0,283.8,0.0,25790.9,0.0,2874.14,0.0,0.0,0.0,0.0,63902.0,1600.0,500.0,9571.2,450.0,0.0,0.0,500.0,2070.78,3600.0,0.0,0.0,5560.0,64.65,800.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128089.08,27616.0
562,PEDRO AYRES DE SOUZA,4850.0,104645.0,157.05,0.0,2145.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2900.0,0.0,3690.0,3650.0,700.0,0.0,0.0,0.0,1050.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126037.05,3262.0
563,CLAUDIO PERESSIM,20606.02,0.0,132.35,0.0,32129.0,0.0,4551.23,0.0,0.0,0.0,0.0,34253.31,1300.0,5244.0,4026.0,850.0,0.0,0.0,0.0,0.0,3000.0,0.0,880.61,0.0,3822.8,9705.5,0.0,45.94,97.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4779.52,0.0,125423.71,4170.0
564,ALCIDES AMAZONA ARAUJO DOS SANTOS,10500.0,5000.0,247.7,0.0,19895.1,271.98,10500.0,0.0,117.24,0.0,0.0,61184.98,0.0,0.0,3278.0,4440.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,2000.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125335.0,0.0
565,GUILHERME TIOSSO DE CASTRO,5000.0,2000.0,126.0,0.0,7853.93,65558.0,6205.5,0.0,0.0,0.0,0.0,33440.01,0.0,0.0,267.99,1500.0,0.0,0.0,0.0,2607.1,0.0,0.0,0.0,0.0,0.0,0.0,281.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124840.09,6833.0
566,RODRIGO TAVARES DA SILVA,16660.0,5500.0,223.1,7941.6,21580.0,1500.0,0.0,0.0,0.0,0.0,0.0,56029.01,0.0,875.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6566.0,0.0,3204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123678.71,570734.0
567,FABIANO VIRGINE TEIXEIRA SIQUEIRA,80300.0,0.0,91.5,0.0,7960.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,5274.01,0.0,15000.0,0.0,0.0,0.0,9879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122004.51,0.0
568,MARCOS DANIEL GOMES DE SOUSA,0.0,1900.0,161.75,420.0,9348.38,0.0,6000.02,0.0,0.0,0.0,9000.0,57313.2,0.0,880.0,2000.0,500.0,0.0,0.0,0.0,20698.0,0.0,550.0,0.0,0.0,233.0,11602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120606.35,4088.0
569,FRANCISCO NUNES SOBRINHO,6000.0,0.0,144.25,0.0,49133.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60532.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119909.75,11587.0
570,CAROLINE GROOT,30095.0,27000.0,538.15,0.0,3800.0,0.0,1186.93,0.0,0.0,0.0,0.0,34267.6,4000.0,3690.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119577.68,977.0
571,JORGE DE FREITAS,10500.0,0.0,135.7,0.0,42450.0,0.0,0.0,0.0,0.0,0.0,0.0,38362.72,0.0,23400.0,0.0,0.0,0.0,0.0,0.0,80.34,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118428.76,6074.0
